atopid,year,onlyconsul,defcon,prob_det,dem_prop,dem_dich,wartime,offense,mem_num,mean_threat,max_threat,min_s_2cat,mean_s_2cat,defense,neutral,nonagg,consul,conditio,offcon,neucon,concon,h1_cat3,h2_cat3,h2_cat4,offense_tpm,consul_tpm,dem_prop_rawpolity,mem1,mem2,mem3,mem4,mem5,mem6,mem7,mem8,mem9,mem10,mem11,mem12,mem13,mem14,mem15,mem16,mem17,mem18,mem19,mem20,mem21,mem22,mem23,mem24,mem25,mem26,mem27,mem28,mem29,mem30,mem31,mem32,mem33,mem34,mem35,mem36,mem37,mem38,mem39,mem40,mem41,mem42,mem43
1470,1912,0,0,0,0,0,0,1,2,0,0,.93442625,.93442625,1,1,0,1,1,1,1,1,1,1,2,1,1,0,345,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,1912,0,1,0,.5,1,0,0,2,.019631,.039262,.90163934,.90163934,1,1,0,0,1,0,1,0,1,2,3,0,0,.5,350,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,1912,1,0,0,1,1,0,0,2,.200758,.22038899,.88524592,.88524592,0,0,0,1,0,0,0,0,2,0,1,0,1,1,200,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,1913,0,1,0,.5,1,0,1,2,.1107765,.221553,.87096775,.87096775,1,1,0,1,1,1,0,1,1,2,3,1,1,.5,345,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1914,0,0,0,0,0,1,1,2,.068955503,.13791101,.83870965,.83870965,1,0,0,0,1,1,0,0,1,1,2,1,0,0,255,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1914,0,1,0,0,0,0,0,2,0,0,.90322578,.90322578,1,1,0,1,1,0,1,1,1,2,3,0,1,0,355,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1914,0,1,0,0,0,1,0,2,.069898501,.139797,.80645162,.80645162,1,0,0,0,1,0,0,0,1,2,3,0,0,0,300,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1914,0,1,0,0,0,1,0,2,.1775355,.35507101,.83870965,.83870965,1,0,0,0,1,0,0,0,1,2,3,0,0,0,255,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1914,1,0,0,.66666669,1,1,0,3,.18094967,.226441,.87096775,.90322578,0,0,0,1,1,0,0,1,2,0,1,0,1,.66666669,200,220,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1914,0,0,0,0,0,1,0,2,.18217599,.226441,.80645162,.80645162,1,1,0,0,1,0,0,0,1,1,2,0,0,0,360,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1915,0,1,0,.5,1,1,1,4,.16241676,.222583,.80645162,.87365592,1,0,0,1,1,1,0,1,1,2,3,1,1,.5,200,220,325,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,1915,0,0,0,0,0,1,1,3,.37297368,.386709,.93548387,.95698923,1,0,0,0,1,1,0,0,1,1,2,1,0,0,255,300,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1916,0,1,1,0,0,1,0,2,.19649202,.19965,.91379309,.91379309,1,0,0,1,1,0,0,1,1,2,3,0,1,0,365,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,1916,0,1,0,.40000001,1,1,1,5,.22108261,.52541101,.75862068,.89655173,1,0,0,0,1,1,0,0,1,2,3,1,0,.40000001,200,220,325,360,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1918,0,1,0,0,0,1,1,2,0,0,.880597,.880597,1,0,0,1,1,1,0,1,1,2,3,1,1,0,710,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,1920,0,1,0,1,1,0,0,2,0,0,.9402985,.9402985,1,0,0,1,1,0,0,0,1,2,3,0,1,1,315,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
